panel,curve,t_s_after_0121,value
normal_acceleration,ink_bottom,136.254,0.9785
normal_acceleration,ink_top,136.254,0.9939
normal_acceleration,ink_bottom,136.873,0.9785
normal_acceleration,ink_top,136.873,0.9939
normal_acceleration,ink_bottom,137.491,0.9785
normal_acceleration,ink_top,137.491,0.9939
normal_acceleration,ink_bottom,138.110,0.9631
normal_acceleration,ink_top,138.110,0.9939
normal_acceleration,ink_bottom,138.728,0.9631
normal_acceleration,ink_top,138.728,0.9785
normal_acceleration,ink_bottom,139.346,0.9631
normal_acceleration,ink_top,139.346,0.9785
normal_acceleration,ink_bottom,139.965,0.9631
normal_acceleration,ink_top,139.965,0.9631
normal_acceleration,ink_bottom,140.583,0.9477
normal_acceleration,ink_top,140.583,0.9631
normal_acceleration,ink_bottom,141.201,0.9477
normal_acceleration,ink_top,141.201,0.9631
normal_acceleration,ink_bottom,141.820,0.9477
normal_acceleration,ink_top,141.820,0.9631
normal_acceleration,ink_bottom,142.438,0.9477
normal_acceleration,ink_top,142.438,0.9631
normal_acceleration,ink_bottom,143.057,0.9477
normal_acceleration,ink_top,143.057,0.9631
normal_acceleration,ink_bottom,143.675,0.9477
normal_acceleration,ink_top,143.675,0.9631
normal_acceleration,ink_bottom,144.293,0.9631
normal_acceleration,ink_top,144.293,0.9631
normal_acceleration,ink_bottom,144.912,0.9631
normal_acceleration,ink_top,144.912,0.9785
normal_acceleration,ink_bottom,145.530,0.9631
normal_acceleration,ink_top,145.530,0.9785
normal_acceleration,ink_bottom,146.148,0.9631
normal_acceleration,ink_top,146.148,0.9939
normal_acceleration,ink_bottom,146.767,0.9785
normal_acceleration,ink_top,146.767,0.9939
normal_acceleration,ink_bottom,147.385,0.9785
normal_acceleration,ink_top,147.385,0.9939
normal_acceleration,ink_bottom,148.004,0.9785
normal_acceleration,ink_top,148.004,0.9939
normal_acceleration,ink_bottom,148.622,0.9785
normal_acceleration,ink_top,148.622,1.0092
normal_acceleration,ink_bottom,149.240,0.9785
normal_acceleration,ink_top,149.240,1.0092
normal_acceleration,ink_bottom,149.859,0.9785
normal_acceleration,ink_top,149.859,0.9939
normal_acceleration,ink_bottom,150.477,0.9785
normal_acceleration,ink_top,150.477,0.9939
normal_acceleration,ink_bottom,151.095,0.9785
normal_acceleration,ink_top,151.095,0.9939
normal_acceleration,ink_bottom,151.714,0.9785
normal_acceleration,ink_top,151.714,0.9939
normal_acceleration,ink_bottom,152.332,0.9785
normal_acceleration,ink_top,152.332,0.9939
normal_acceleration,ink_bottom,152.951,0.9785
normal_acceleration,ink_top,152.951,0.9939
normal_acceleration,ink_bottom,153.569,0.9785
normal_acceleration,ink_top,153.569,0.9939
normal_acceleration,ink_bottom,154.187,0.9631
normal_acceleration,ink_top,154.187,0.9785
normal_acceleration,ink_bottom,154.806,0.9631
normal_acceleration,ink_top,154.806,0.9785
normal_acceleration,ink_bottom,155.424,0.9631
normal_acceleration,ink_top,155.424,0.9785
normal_acceleration,ink_bottom,156.042,0.9631
normal_acceleration,ink_top,156.042,0.9785
normal_acceleration,ink_bottom,156.661,0.9631
normal_acceleration,ink_top,156.661,0.9785
normal_acceleration,ink_bottom,157.279,0.9631
normal_acceleration,ink_top,157.279,0.9785
normal_acceleration,ink_bottom,157.898,0.9785
normal_acceleration,ink_top,157.898,0.9939
normal_acceleration,ink_bottom,158.516,0.9785
normal_acceleration,ink_top,158.516,0.9939
normal_acceleration,ink_bottom,159.134,0.9785
normal_acceleration,ink_top,159.134,0.9939
normal_acceleration,ink_bottom,159.753,0.9785
normal_acceleration,ink_top,159.753,0.9939
normal_acceleration,ink_bottom,160.371,0.9785
normal_acceleration,ink_top,160.371,0.9939
normal_acceleration,ink_bottom,160.989,0.9785
normal_acceleration,ink_top,160.989,0.9939
normal_acceleration,ink_bottom,161.608,0.9785
normal_acceleration,ink_top,161.608,0.9939
normal_acceleration,ink_bottom,162.226,0.9785
normal_acceleration,ink_top,162.226,0.9939
normal_acceleration,ink_bottom,162.845,0.9785
normal_acceleration,ink_top,162.845,0.9939
normal_acceleration,ink_bottom,163.463,0.9785
normal_acceleration,ink_top,163.463,0.9785
normal_acceleration,ink_bottom,164.081,0.9631
normal_acceleration,ink_top,164.081,0.9785
normal_acceleration,ink_bottom,164.700,0.9631
normal_acceleration,ink_top,164.700,0.9785
normal_acceleration,ink_bottom,165.318,0.9631
normal_acceleration,ink_top,165.318,0.9785
normal_acceleration,ink_bottom,165.936,0.9785
normal_acceleration,ink_top,165.936,0.9939
normal_acceleration,ink_bottom,166.555,0.9785
normal_acceleration,ink_top,166.555,0.9939
normal_acceleration,ink_bottom,167.173,0.9785
normal_acceleration,ink_top,167.173,0.9939
normal_acceleration,ink_bottom,167.792,0.9785
normal_acceleration,ink_top,167.792,0.9939
normal_acceleration,ink_bottom,168.410,0.9785
normal_acceleration,ink_top,168.410,0.9939
normal_acceleration,ink_bottom,169.028,0.9785
normal_acceleration,ink_top,169.028,0.9939
normal_acceleration,ink_bottom,169.647,0.9785
normal_acceleration,ink_top,169.647,0.9939
normal_acceleration,ink_bottom,170.265,0.9785
normal_acceleration,ink_top,170.265,0.9939
normal_acceleration,ink_bottom,170.883,0.9631
normal_acceleration,ink_top,170.883,0.9785
normal_acceleration,ink_bottom,171.502,0.9631
normal_acceleration,ink_top,171.502,0.9785
normal_acceleration,ink_bottom,172.120,0.9631
normal_acceleration,ink_top,172.120,0.9785
normal_acceleration,ink_bottom,172.739,0.9631
normal_acceleration,ink_top,172.739,0.9785
normal_acceleration,ink_bottom,173.357,0.9631
normal_acceleration,ink_top,173.357,0.9785
normal_acceleration,ink_bottom,173.975,0.9631
normal_acceleration,ink_top,173.975,0.9785
normal_acceleration,ink_bottom,174.594,0.9631
normal_acceleration,ink_top,174.594,0.9631
normal_acceleration,ink_bottom,175.212,0.9631
normal_acceleration,ink_top,175.212,0.9631
normal_acceleration,ink_bottom,175.830,0.9631
normal_acceleration,ink_top,175.830,0.9631
normal_acceleration,ink_bottom,176.449,0.9631
normal_acceleration,ink_top,176.449,0.9785
normal_acceleration,ink_bottom,177.067,0.9631
normal_acceleration,ink_top,177.067,0.9785
normal_acceleration,ink_bottom,177.686,0.9631
normal_acceleration,ink_top,177.686,0.9785
normal_acceleration,ink_bottom,178.304,0.9785
normal_acceleration,ink_top,178.304,0.9785
normal_acceleration,ink_bottom,178.922,0.9785
normal_acceleration,ink_top,178.922,0.9939
normal_acceleration,ink_bottom,179.541,0.9785
normal_acceleration,ink_top,179.541,0.9939
normal_acceleration,ink_bottom,180.159,0.9785
normal_acceleration,ink_top,180.159,0.9939
normal_acceleration,ink_bottom,180.777,0.9785
normal_acceleration,ink_top,180.777,0.9939
normal_acceleration,ink_bottom,181.396,0.9785
normal_acceleration,ink_top,181.396,0.9939
normal_acceleration,ink_bottom,182.014,0.9939
normal_acceleration,ink_top,182.014,0.9939
normal_acceleration,ink_bottom,182.633,0.9939
normal_acceleration,ink_top,182.633,1.0092
normal_acceleration,ink_bottom,183.251,0.9939
normal_acceleration,ink_top,183.251,1.0092
normal_acceleration,ink_bottom,183.869,0.9939
normal_acceleration,ink_top,183.869,1.0092
normal_acceleration,ink_bottom,184.488,0.9939
normal_acceleration,ink_top,184.488,1.0092
normal_acceleration,ink_bottom,185.106,0.9939
normal_acceleration,ink_top,185.106,1.0092
normal_acceleration,ink_bottom,185.724,0.9939
normal_acceleration,ink_top,185.724,1.0092
normal_acceleration,ink_bottom,186.343,0.9939
normal_acceleration,ink_top,186.343,1.0092
normal_acceleration,ink_bottom,186.961,0.9939
normal_acceleration,ink_top,186.961,1.0092
normal_acceleration,ink_bottom,187.580,0.9939
normal_acceleration,ink_top,187.580,1.0092
